"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MIN","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MAX"
"75362.099152","31704940544","31704940544","31704940544"
"75377.099696","31704940544","31704940544","31704940544"
"75392.099936","31704940544","31704940544","31704940544"
"75407.100411","31704940544","31704940544","31704940544"
"75422.100511","31704940544","31704940544","31704940544"
"75437.099619","31704940544","31704940544","31704940544"
"75452.099989","31704940544","31704940544","31704940544"
"75467.099388","31704940544","31704940544","31704940544"
"75482.100475","31704940544","31704940544","31704940544"
"75497.100062","31704940544","31704940544","31704940544"
"75512.098686","31704940544","31704940544","31704940544"
"75527.101472","31704940544","31704940544","31704940544"
"75542.101395","31704940544","31704940544","31704940544"
"75557.100082","31704940544","31704940544","31704940544"
"75572.099528","31704940544","31704940544","31704940544"
"75587.100102","31704940544","31704940544","31704940544"
"75602.098839","31704940544","31704940544","31704940544"
"75617.099728","31704940544","31704940544","31704940544"
"75632.099486","31704940544","31704940544","31704940544"
"75647.10035","31704940544","31704940544","31704940544"
"75662.10012","31704940544","31704940544","31704940544"
"75677.100266","31704940544","31704940544","31704940544"
"75692.099952","31704940544","31704940544","31704940544"
"75707.099912","31704940544","31704940544","31704940544"
"75722.099822","31704940544","31704940544","31704940544"
"75737.099359","31704940544","31704940544","31704940544"
"75752.098948","31704940544","31704940544","31704940544"
"75767.099393","31704940544","31704940544","31704940544"
"75782.099399","31704940544","31704940544","31704940544"
"75797.099163","31704940544","31704940544","31704940544"
"75812.09991","31704940544","31704940544","31704940544"
"75827.099751","31704940544","31704940544","31704940544"
"75842.100331","31704940544","31704940544","31704940544"
"75857.100595","31704940544","31704940544","31704940544"
"75872.09987","31704940544","31704940544","31704940544"
"75887.099423","31704940544","31704940544","31704940544"
"75902.100695","31704940544","31704940544","31704940544"
"75917.099739","31704940544","31704940544","31704940544"
"75932.098859","31704940544","31704940544","31704940544"
"75947.10069","31704940544","31704940544","31704940544"
"75962.102012","31704940544","31704940544","31704940544"
"75977.0999","31704940544","31704940544","31704940544"
"75992.098689","31704940544","31704940544","31704940544"
"76007.099563","31704940544","31704940544","31704940544"
"76022.099102","31704940544","31704940544","31704940544"
"76037.099997","31704940544","31704940544","31704940544"
"76052.099204","31704940544","31704940544","31704940544"
"76067.10101","31704940544","31704940544","31704940544"
"76082.099603","31704940544","31704940544","31704940544"
"76097.098638","31704940544","31704940544","31704940544"
"76112.099893","31704940544","31704940544","31704940544"
"76127.099395","31704940544","31704940544","31704940544"
"76142.099921","31704940544","31704940544","31704940544"
"76157.099257","31704940544","31704940544","31704940544"
"76172.099783","31704940544","31704940544","31704940544"
"76187.100057","31704940544","31704940544","31704940544"
"76202.099463","31704940544","31704940544","31704940544"
"76217.100193","31704940544","31704940544","31704940544"
